0.041228	0.019294
0.048246	0.019294
0.078070	0.020397
0.084211	0.020948
0.088596	0.035832
0.103509	0.041345
0.109649	0.040243
0.120175	0.039140
0.129825	0.040243
0.139474	0.041345
0.157895	0.033627
0.169298	0.019846
0.190351	0.034179
0.207895	0.019846
0.222807	0.033627
0.235965	0.079383
0.257018	0.033627
0.267544	-0.508314
0.322807	0.019294
0.340351	0.036935
0.392105	0.038037
0.407018	0.000000
0.407018	0.000000
0.437719	-0.308789
0.477193	0.043550
0.499123	0.034730
0.508772	0.052370
0.526316	0.029217
0.561404	0.019846
0.576316	0.019294
0.585088	0.019294
0.628070	0.062845
0.662281	0.052370
0.974561	-0.182898
